Date,Start Date,End Date,Total Trades,Wins,Losses,WinRate,Final NAV,Monthly ROI,Daily Return,TP,SL,Entry Time Offset,Percentage Change
1/14/2024 1:00,1/14/2024 1:00,1/25/2024 12:00,13,7,6,0.538461538,98302.97925,-1.697020752,0,0.011,0.014,110,0.0001
1/15/2024 0:00,1/14/2024 1:00,1/25/2024 12:00,13,7,6,0.538461538,98302.97925,-1.697020752,-1.917217436,0.011,0.014,110,0.0001
1/15/2024 16:00,1/14/2024 1:00,1/25/2024 12:00,13,7,6,0.538461538,98302.97925,-1.697020752,-1.917217436,0.011,0.014,110,0.0001
1/15/2024 22:00,1/14/2024 1:00,1/25/2024 12:00,13,7,6,0.538461538,98302.97925,-1.697020752,-1.917217436,0.011,0.014,110,0.0001
1/16/2024 16:00,1/14/2024 1:00,1/25/2024 12:00,13,7,6,0.538461538,98302.97925,-1.697020752,1.02924011,0.011,0.014,110,0.0001
1/17/2024 0:00,1/14/2024 1:00,1/25/2024 12:00,13,7,6,0.538461538,98302.97925,-1.697020752,-0.454889672,0.011,0.014,110,0.0001
1/17/2024 20:00,1/14/2024 1:00,1/25/2024 12:00,13,7,6,0.538461538,98302.97925,-1.697020752,-0.454889672,0.011,0.014,110,0.0001
1/18/2024 18:00,1/14/2024 1:00,1/25/2024 12:00,13,7,6,0.538461538,98302.97925,-1.697020752,1.02924011,0.011,0.014,110,0.0001
1/19/2024 4:00,1/14/2024 1:00,1/25/2024 12:00,13,7,6,0.538461538,98302.97925,-1.697020752,-1.46901014,0.011,0.014,110,0.0001
1/20/2024 0:00,1/14/2024 1:00,1/25/2024 12:00,13,7,6,0.538461538,98302.97925,-1.697020752,-0.454889672,0.011,0.014,110,0.0001
1/20/2024 8:00,1/14/2024 1:00,1/25/2024 12:00,13,7,6,0.538461538,98302.97925,-1.697020752,-0.454889672,0.011,0.014,110,0.0001
1/22/2024 17:00,1/14/2024 1:00,1/25/2024 12:00,13,7,6,0.538461538,98302.97925,-1.697020752,1.02924011,0.011,0.014,110,0.0001
1/23/2024 16:00,1/14/2024 1:00,1/25/2024 12:00,13,7,6,0.538461538,98302.97925,-1.697020752,1.02924011,0.011,0.014,110,0.0001
1/24/2024 16:00,1/14/2024 1:00,1/25/2024 12:00,13,7,6,0.538461538,98302.97925,-1.697020752,-1.46901014,0.011,0.014,110,0.0001
1/26/2024 0:00,1/26/2024 0:00,2/9/2024 9:00,8,3,5,0.375,97926.41164,-2.073588364,-0.96936009,0.01,0.009,70,0.0002
1/26/2024 16:00,1/26/2024 0:00,2/9/2024 9:00,8,3,5,0.375,97926.41164,-2.073588364,-0.96936009,0.01,0.009,70,0.0002
1/27/2024 0:00,1/26/2024 0:00,2/9/2024 9:00,8,3,5,0.375,97926.41164,-2.073588364,-0.96936009,0.01,0.009,70,0.0002
1/28/2024 0:00,1/26/2024 0:00,2/9/2024 9:00,8,3,5,0.375,97926.41164,-2.073588364,1.867256373,0.01,0.009,70,0.0002
1/28/2024 16:00,1/26/2024 0:00,2/9/2024 9:00,8,3,5,0.375,97926.41164,-2.073588364,1.867256373,0.01,0.009,70,0.0002
1/30/2024 8:00,1/26/2024 0:00,2/9/2024 9:00,8,3,5,0.375,97926.41164,-2.073588364,-1.92932359,0.01,0.009,70,0.0002
1/30/2024 16:00,1/26/2024 0:00,2/9/2024 9:00,8,3,5,0.375,97926.41164,-2.073588364,-1.92932359,0.01,0.009,70,0.0002
1/31/2024 16:00,1/26/2024 0:00,2/9/2024 9:00,8,3,5,0.375,97926.41164,-2.073588364,0,0.01,0.009,70,0.0002
2/1/2024 4:00,1/26/2024 0:00,2/9/2024 9:00,8,3,5,0.375,97926.41164,-2.073588364,0,0.01,0.009,70,0.0002
2/3/2024 0:00,1/26/2024 0:00,2/9/2024 9:00,8,3,5,0.375,97926.41164,-2.073588364,0.9293101,0.01,0.009,70,0.0002
2/5/2024 8:00,1/26/2024 0:00,2/9/2024 9:00,8,3,5,0.375,97926.41164,-2.073588364,0,0.01,0.009,70,0.0002
2/7/2024 8:00,1/26/2024 0:00,2/9/2024 9:00,8,3,5,0.375,97926.41164,-2.073588364,0,0.01,0.009,70,0.0002
2/8/2024 0:00,1/26/2024 0:00,2/9/2024 9:00,8,3,5,0.375,97926.41164,-2.073588364,-0.96936009,0.01,0.009,70,0.0002
2/8/2024 16:00,1/26/2024 0:00,2/9/2024 9:00,8,3,5,0.375,97926.41164,-2.073588364,-0.96936009,0.01,0.009,70,0.0002
2/10/2024 22:00,2/10/2024 22:00,2/25/2024 8:00,12,6,6,0.5,101383.5606,1.383560564,-1.16922011,0.014,0.011,70,0.0004
2/11/2024 21:00,2/10/2024 22:00,2/25/2024 8:00,12,6,6,0.5,101383.5606,1.383560564,1.32903014,0.014,0.011,70,0.0004
2/13/2024 0:00,2/10/2024 22:00,2/25/2024 8:00,12,6,6,0.5,101383.5606,1.383560564,0.510374102,0.014,0.011,70,0.0004
2/14/2024 0:00,2/10/2024 22:00,2/25/2024 8:00,12,6,6,0.5,101383.5606,1.383560564,0.144270742,0.014,0.011,70,0.0004
2/14/2024 10:00,2/10/2024 22:00,2/25/2024 8:00,12,6,6,0.5,101383.5606,1.383560564,0.144270742,0.014,0.011,70,0.0004
2/16/2024 0:00,2/10/2024 22:00,2/25/2024 8:00,12,6,6,0.5,101383.5606,1.383560564,-1.16922011,0.014,0.011,70,0.0004
2/17/2024 0:00,2/10/2024 22:00,2/25/2024 8:00,12,6,6,0.5,101383.5606,1.383560564,0.144270742,0.014,0.011,70,0.0004
2/17/2024 16:00,2/10/2024 22:00,2/25/2024 8:00,12,6,6,0.5,101383.5606,1.383560564,0.144270742,0.014,0.011,70,0.0004
2/18/2024 1:00,2/10/2024 22:00,2/25/2024 8:00,12,6,6,0.5,101383.5606,1.383560564,0.144270742,0.014,0.011,70,0.0004
2/18/2024 23:00,2/10/2024 22:00,2/25/2024 8:00,12,6,6,0.5,101383.5606,1.383560564,0.144270742,0.014,0.011,70,0.0004
2/19/2024 18:00,2/10/2024 22:00,2/25/2024 8:00,12,6,6,0.5,101383.5606,1.383560564,1.32903014,0.014,0.011,70,0.0004
2/21/2024 0:00,2/10/2024 22:00,2/25/2024 8:00,12,6,6,0.5,101383.5606,1.383560564,1.32903014,0.014,0.011,70,0.0004
2/22/2024 8:00,2/10/2024 22:00,2/25/2024 8:00,12,6,6,0.5,101383.5606,1.383560564,0,0.014,0.011,70,0.0004
2/24/2024 5:00,2/10/2024 22:00,2/25/2024 8:00,12,6,6,0.5,101383.5606,1.383560564,-1.16922011,0.014,0.011,70,0.0004
2/26/2024 17:00,2/26/2024 17:00,3/7/2024 14:00,9,2,7,0.222222222,94561.27711,-5.438722887,-1.16922011,0.014,0.011,80,0.0001
2/27/2024 2:00,2/26/2024 17:00,3/7/2024 14:00,9,2,7,0.222222222,94561.27711,-5.438722887,0,0.014,0.011,80,0.0001
2/28/2024 13:00,2/26/2024 17:00,3/7/2024 14:00,9,2,7,0.222222222,94561.27711,-5.438722887,-1.16922011,0.014,0.011,80,0.0001
2/29/2024 16:00,2/26/2024 17:00,3/7/2024 14:00,9,2,7,0.222222222,94561.27711,-5.438722887,1.32903014,0.014,0.011,80,0.0001
2/29/2024 22:00,2/26/2024 17:00,3/7/2024 14:00,9,2,7,0.222222222,94561.27711,-5.438722887,1.32903014,0.014,0.011,80,0.0001
3/1/2024 8:00,2/26/2024 17:00,3/7/2024 14:00,9,2,7,0.222222222,94561.27711,-5.438722887,-1.16922011,0.014,0.011,80,0.0001
3/1/2024 11:00,2/26/2024 17:00,3/7/2024 14:00,9,2,7,0.222222222,94561.27711,-5.438722887,-1.16922011,0.014,0.011,80,0.0001
3/1/2024 19:00,2/26/2024 17:00,3/7/2024 14:00,9,2,7,0.222222222,94561.27711,-5.438722887,-1.16922011,0.014,0.011,80,0.0001
3/2/2024 16:00,2/26/2024 17:00,3/7/2024 14:00,9,2,7,0.222222222,94561.27711,-5.438722887,-1.16922011,0.014,0.011,80,0.0001
3/3/2024 19:00,2/26/2024 17:00,3/7/2024 14:00,9,2,7,0.222222222,94561.27711,-5.438722887,-1.16922011,0.014,0.011,80,0.0001
3/4/2024 8:00,2/26/2024 17:00,3/7/2024 14:00,9,2,7,0.222222222,94561.27711,-5.438722887,0.144270742,0.014,0.011,80,0.0001
3/4/2024 21:00,2/26/2024 17:00,3/7/2024 14:00,9,2,7,0.222222222,94561.27711,-5.438722887,0.144270742,0.014,0.011,80,0.0001
3/5/2024 10:00,2/26/2024 17:00,3/7/2024 14:00,9,2,7,0.222222222,94561.27711,-5.438722887,-1.16922011,0.014,0.011,80,0.0001
3/5/2024 20:00,2/26/2024 17:00,3/7/2024 14:00,9,2,7,0.222222222,94561.27711,-5.438722887,-1.16922011,0.014,0.011,80,0.0001
3/8/2024 15:00,3/8/2024 15:00,3/17/2024 18:00,13,6,7,0.461538462,98154.37909,-1.845620905,-0.14801968,0.009,0.009,60,0.0001
3/8/2024 20:00,3/8/2024 15:00,3/17/2024 18:00,13,6,7,0.461538462,98154.37909,-1.845620905,-0.14801968,0.009,0.009,60,0.0001
3/10/2024 1:00,3/8/2024 15:00,3/17/2024 18:00,13,6,7,0.461538462,98154.37909,-1.845620905,-0.96936009,0.009,0.009,60,0.0001
3/11/2024 8:00,3/8/2024 15:00,3/17/2024 18:00,13,6,7,0.461538462,98154.37909,-1.845620905,-0.96936009,0.009,0.009,60,0.0001
3/12/2024 17:00,3/8/2024 15:00,3/17/2024 18:00,13,6,7,0.461538462,98154.37909,-1.845620905,-0.96936009,0.009,0.009,60,0.0001
3/13/2024 0:00,3/8/2024 15:00,3/17/2024 18:00,13,6,7,0.461538462,98154.37909,-1.845620905,0.680132765,0.009,0.009,60,0.0001
3/13/2024 3:00,3/8/2024 15:00,3/17/2024 18:00,13,6,7,0.461538462,98154.37909,-1.845620905,0.680132765,0.009,0.009,60,0.0001
3/13/2024 19:00,3/8/2024 15:00,3/17/2024 18:00,13,6,7,0.461538462,98154.37909,-1.845620905,0.680132765,0.009,0.009,60,0.0001
3/14/2024 16:00,3/8/2024 15:00,3/17/2024 18:00,13,6,7,0.461538462,98154.37909,-1.845620905,0,0.009,0.009,60,0.0001
3/15/2024 4:00,3/8/2024 15:00,3/17/2024 18:00,13,6,7,0.461538462,98154.37909,-1.845620905,1.665638893,0.009,0.009,60,0.0001
3/15/2024 20:00,3/8/2024 15:00,3/17/2024 18:00,13,6,7,0.461538462,98154.37909,-1.845620905,1.665638893,0.009,0.009,60,0.0001
3/16/2024 19:00,3/8/2024 15:00,3/17/2024 18:00,13,6,7,0.461538462,98154.37909,-1.845620905,-0.96936009,0.009,0.009,60,0.0001
3/17/2024 2:00,3/8/2024 15:00,3/17/2024 18:00,13,6,7,0.461538462,98154.37909,-1.845620905,-0.14801968,0.009,0.009,60,0.0001
